timesOfRecord time Db Dp Bdensity Pdensity effDb effDp PDI
1 0.999611 1 21 153341 3.26941e+06 2.72957 51.9535 0
2 1.02033 1 22 153939 3.31353e+06 3.98448 78.9384 0
3 2.10057 1 29 157709 6.8302e+06 4.09159 72.1598 0
4 3.04244 1 40 113184 1.1713e+07 4.26743 75.4604 0
5 4.13582 1 50 52302.8 1.6343e+07 4.51927 77.9502 0
6 5.14156 1 58 21863.4 1.76652e+07 5.10428 79.4749 0
7 6.00132 1 64 10614.5 1.73421e+07 5.63163 81.1278 0
8 7.38316 1 59 3935.42 1.58141e+07 8.88254 85.9678 0
9 8.97165 1 47 1755.31 1.37689e+07 6.73469 87.6472 0
10 9.22607 2 46 1594.57 1.34502e+07 4.41399 81.9066 0
11 10.2261 1 43 1181.51 1.22478e+07 5.521 88.0472 0
12 11.3511 1 41 973.694 1.1004e+07 4.75049 88.1963 0
13 12.3511 1 38 919.15 9.99826e+06 4.24089 88.2497 0
14 13.3511 1 35 955.751 9.08388e+06 3.84828 88.2554 0
15 14.3511 1 33 1083.78 8.25627e+06 3.54142 88.2203 0
16 15.8072 1 33 1491.55 7.19699e+06 3.20507 88.083 0
17 16.8072 1 29 2013.65 6.56396e+06 3.0301 87.9013 0
18 17.8072 1 28 2876.19 6.0062e+06 2.89037 87.6016 0
19 18.8072 1 27 4309.18 5.52564e+06 2.78041 87.1089 0
20 19.7684 1 28 6591.48 5.14334e+06 2.73489 86.0569 0
21 20.7684 1 27 10526.4 4.84358e+06 2.64449 85.0276 0
22 21.7684 1 25 17003.7 4.67443e+06 2.62137 82.9212 0
23 22.7684 1 25 27170.5 4.69227e+06 2.64327 79.6961 0
24 23.1006 1 26 31393.1 4.75601e+06 3.48006 78.9314 0
25 24.3166 2 27 50274.6 5.33041e+06 2.89207 72.7461 0
26 25.0225 2 30 60724.7 6.00297e+06 3.65255 74.8528 0
27 26.2297 2 32 70379.4 7.86046e+06 3.97159 75.0225 0
28 27.0118 2 35 66290.5 9.45877e+06 4.21361 71.6639 0
29 28.2719 2 40 47581.8 1.19331e+07 4.47128 76.226 0
30 29.0518 2 47 35284.4 1.29496e+07 4.39019 78.5281 0
31 30.8148 2 53 16419.8 1.34923e+07 6.25196 79.9056 0
32 31.0938 2 54 14660.6 1.34077e+07 4.49444 80.5053 0
33 32.372 1 57 9275.93 1.27068e+07 4.69193 81.9164 0
34 33.4602 1 52 6946.73 1.1897e+07 5.15264 84.7297 0
35 34.4602 1 42 5816.01 1.1104e+07 4.81545 85.8153 0
36 35.4602 1 38 5295.4 1.03211e+07 4.40293 86.1833 0
37 36.9728 1 39 5327 9.21968e+06 3.91071 86.3209 0
38 37.9728 1 34 5832.32 8.56877e+06 3.66095 86.1924 0
39 38.4875 1 35 6257.86 8.26206e+06 3.73262 82.9975 0
40 39.4875 1 35 7471.35 7.72572e+06 3.3767 85.6503 0
41 40.4875 1 32 9330.97 7.27737e+06 3.24254 85.0047 0
42 41.4875 1 31 12052.9 6.93058e+06 3.14767 84.0531 0
43 42.1726 1 32 14530.5 6.76152e+06 3.34703 82.0128 0
44 43.0838 1 32 18767.8 6.63947e+06 3.14788 81.4775 0
45 44.0838 1 32 24664.3 6.66824e+06 3.10088 79.6552 0
46 45.7886 1 33 36115.4 7.22445e+06 3.28629 75.5176 0
47 46.1926 1 35 38386.8 7.46626e+06 3.88712 78.6591 0
48 47.1926 1 35 42381.2 8.23076e+06 3.63189 72.7419 0
49 48.4459 1 37 41718.8 9.42685e+06 4.11348 73.5055 0
50 49.139 2 40 38881 1.00929e+07 4.08755 78.7137 0
51 50.0883 2 43 33253 1.08712e+07 4.27431 78.066 0
52 51.0857 2 46 26848.1 1.14089e+07 4.37863 78.7883 0
53 52.2079 1 51 20653.6 1.16279e+07 4.26534 79.8795 0
54 53.3568 1 53 15949.8 1.14951e+07 5.06913 80.928 0
55 54.0776 1 56 13891.8 1.12776e+07 4.06444 80.2228 0
56 55.0177 1 59 12009.4 1.08973e+07 4.13803 80.7899 0
57 56.0177 1 52 10786.1 1.04259e+07 4.46655 83.658 0
58 57.3706 1 43 10148.1 9.75551e+06 4.14853 84.1203 0
59 58.3706 1 40 10292.4 9.27712e+06 3.94411 84.1786 0
60 59.3706 1 38 10925.8 8.83799e+06 3.77146 84.0244 0
61 60.3706 1 36 12061.8 8.45518e+06 3.63214 83.6631 0
62 61.3706 1 36 13738.4 8.14381e+06 3.52673 83.088 0
63 62.3706 1 36 15992.5 7.91874e+06 3.45608 82.29 0
64 63.6046 1 37 19530 7.7828e+06 3.47629 80.8438 0
65 64.4414 1 38 22310 7.79325e+06 3.51709 79.8928 0
66 65.2746 2 38 25183.5 7.89454e+06 3.55664 78.977 0
67 66.667 2 40 29407.4 8.27075e+06 3.69063 77.6001 0
68 67.0056 2 41 30163.7 8.39899e+06 3.90037 78.7833 0
69 68.3985 2 43 31654.2 9.03275e+06 3.95233 77.0534 0
70 69.0361 2 47 31317.8 9.35221e+06 4.00848 79.71 0
71 70.5756 2 51 28268.8 1.00607e+07 4.21021 78.0305 0
