timesOfRecord time Db Dp Bdensity Pdensity effDb effDp PDI
1 0.437091 1 11 127855 1.20882e+06 3.17601 33.3885 0
2 1.65514 1 12 202776 2.74329e+06 2.8811 22.3638 0
3 2.15119 1 14 205453 4.22594e+06 3.9622 28.0192 0
4 3.02573 4 18 169076 8.6481e+06 4.12513 37.6947 0
5 4.13573 1 34 83473.5 1.54674e+07 5.08368 36.1304 0
6 5.00855 1 46 37395.6 1.82681e+07 4.26188 39.7575 0
7 6.22938 1 49 10973.6 1.85059e+07 13.6572 40.1354 0
8 7.49779 1 50 3731.65 1.70088e+07 10.8973 42.989 0
9 8.53762 2 39 1873.79 1.55391e+07 6.67512 42.6712 0
10 9.53762 1 34 1125.24 1.41572e+07 7.10382 44 0
11 10.5376 1 33 779.615 1.28637e+07 5.96987 44.123 0
12 11.5376 1 27 614.946 1.16738e+07 5.14282 44.1811 0
13 12.5376 1 24 545.203 1.05878e+07 4.52805 44.2081 0
14 13.5376 1 24 536.899 9.60093e+06 4.0621 44.2174 0
15 14.5376 1 23 580.949 8.70667e+06 3.70246 44.2139 0
16 15.5376 1 18 683.93 7.89842e+06 3.42038 44.198 0
17 16.5376 1 18 868.164 7.17006e+06 3.19619 44.1666 0
18 17.5376 1 17 1178.4 6.51647e+06 3.01623 44.1126 0
19 18.5376 1 16 1696.95 5.93404e+06 2.87107 44.0224 0
20 19.5376 1 15 2572.63 5.4214e+06 2.75433 43.8717 0
21 20.5376 1 15 4072.99 4.98073e+06 2.66222 43.6173 0
22 21.5376 1 14 6672.44 4.61999e+06 2.59345 43.1843 0
23 22.5376 1 14 11179.5 4.35719e+06 2.54991 42.449 0
24 23.5376 1 14 18845.4 4.22818e+06 2.53836 41.2298 0
25 24.2045 1 18 26290.2 4.24868e+06 3.47172 39.7993 0
26 25.2045 1 18 42129.7 4.51524e+06 2.63747 37.6734 0
27 26.7361 2 20 70240.4 5.85684e+06 3.10537 33.6913 0
28 27.5212 2 21 78214.1 7.18636e+06 3.60262 32.9421 0
29 28.1838 2 25 76742 8.6505e+06 4.09057 36.0364 0
30 29.0835 3 34 64335.7 1.08319e+07 4.32034 37.4526 0
31 30.2263 2 39 41699.5 1.30494e+07 4.89625 37.7752 0
32 31.1811 3 42 26498 1.39231e+07 4.95764 39.2271 0
33 32.4169 1 46 14505.8 1.3919e+07 6.85844 40.2591 0
34 33.4169 1 46 9492.84 1.33573e+07 6.39119 41.6998 0
35 34.4169 1 42 6774.99 1.25758e+07 5.76556 42.5245 0
36 35.4169 1 38 5310.18 1.17181e+07 5.1795 42.9813 0
37 36.826 1 36 4408.11 1.05173e+07 4.49906 43.2859 0
38 37.826 1 33 4281.03 9.71705e+06 4.11962 43.3619 0
39 38.8436 1 33 4500.26 8.96665e+06 3.80848 43.355 0
40 39.2195 1 32 4669.91 8.70776e+06 3.85601 41.1982 0
41 40.2195 1 29 5386.39 8.07053e+06 3.48562 43.2207 0
42 41.2195 1 24 6576.63 7.51389e+06 3.30883 43.0182 0
43 42.2195 1 23 8415.62 7.04632e+06 3.17367 42.6983 0
44 43.2195 1 21 11158.5 6.6805e+06 3.07719 42.2204 0
45 44.2195 1 20 15124.2 6.43614e+06 3.0199 41.5332 0
46 45.855 1 21 24882.7 6.38084e+06 3.02513 39.8542 0
47 46.2973 1 23 28107.2 6.46129e+06 3.66094 39.6036 0
48 47.2973 1 23 36012 6.82421e+06 3.17017 37.9011 0
49 48.3147 1 27 42847.9 7.49356e+06 3.49816 36.9915 0
50 49.2988 2 30 45965.3 8.41735e+06 3.95558 38.4677 0
51 50.3454 2 35 44111.7 9.56963e+06 4.16599 36.8451 0
52 51.09 2 37 40008.8 1.03676e+07 4.32183 37.8371 0
53 52.0306 4 42 33253.9 1.11884e+07 4.2323 39.3087 0
54 53.3359 1 45 23961.7 1.18039e+07 4.71238 39.3166 0
55 54.5636 1 45 17394.7 1.18288e+07 5.28223 40.0534 0
56 55.0523 2 46 15508.9 1.17209e+07 4.13065 40.1248 0
57 56.0523 1 46 12589.9 1.13638e+07 4.98122 41.2669 0
58 57.2304 2 48 10557.6 1.07963e+07 4.20469 40.7314 0
59 58.2304 2 44 9652.73 1.02632e+07 4.38384 42.105 0
60 59.0762 2 40 9358.42 9.80802e+06 4.12689 41.8778 0
61 60.0762 2 37 9482.36 9.29043e+06 3.948 42.2596 0
62 61.6212 2 37 10637.6 8.57981e+06 3.70675 41.8029 0
63 62.6212 2 37 12056.8 8.20152e+06 3.54314 41.8663 0
64 63.6212 2 34 14072.7 7.90497e+06 3.44766 41.5147 0
65 64.6212 2 30 16736.1 7.70581e+06 3.3889 41.0405 0
66 65.3845 4 31 19157.8 7.63064e+06 3.70248 40.1866 0
67 66.0389 4 34 21464.5 7.6243e+06 3.81827 39.9789 0
68 67.0389 4 34 25312 7.72778e+06 3.41535 39.4662 0
69 68.1691 4 37 29375.9 8.02399e+06 3.60459 38.8226 0
70 69.242 4 39 32100.6 8.47089e+06 3.83222 38.7288 0
71 70.6559 4 40 32831.6 9.22391e+06 3.98187 37.6681 0
72 71.1239 4 42 32270.4 9.48544e+06 4.0266 39.6646 0
73 72.2388 4 45 29655.7 1.00597e+07 4.10941 39.4602 0
74 73.131 5 48 26769.6 1.04161e+07 4.09441 39.7529 3.39826e-11
75 74.6026 5 50 21760.8 1.07211e+07 4.64889 39.3783 4.65286e-11
76 75.0149 6 51 20525.3 1.07392e+07 4.06314 39.9924 5.08591e-11
77 76.0528 6 52 17790.6 1.06758e+07 4.61332 40.2388 6.36521e-11
78 77.0528 5 52 15825.5 1.04917e+07 4.51311 40.7049 0
79 78.1408 5 54 14405 1.02e+07 4.36533 41.069 0
80 79.6251 5 55 13516.9 9.72771e+06 4.13062 41.2591 0
81 80.1517 5 54 13458 9.55516e+06 4.01869 40.7257 0
82 81.1517 5 48 13680.4 9.23759e+06 3.9365 41.387 0
83 82.1517 5 45 14327.2 8.94875e+06 3.82278 41.3016 0
84 83.3362 5 43 15616.7 8.66515e+06 3.71784 41.0911 0
85 84.3362 5 41 17123.3 8.49058e+06 3.65733 40.8267 0
86 85.3362 5 41 18954 8.38744e+06 3.62464 40.4934 0
87 86.0398 6 41 20368.5 8.36296e+06 3.72888 40.1172 0
88 87.0398 6 41 22463.5 8.39955e+06 3.63759 39.826 0
89 88.978 6 43 25874.3 8.70656e+06 3.75932 39.1111 0
90 89.123 6 44 26049.9 8.74067e+06 3.97563 39.8441 0
91 90.3986 7 44 26981.6 9.08358e+06 3.90944 38.7984 0
92 91.3986 7 44 26795.1 9.37955e+06 4.03109 38.7478 0
93 92.3777 7 47 25896.3 9.6544e+06 4.08727 39.4364 0
94 93.1045 7 49 24888.1 9.82999e+06 4.10617 39.5896 0
95 94.3344 8 49 22786.3 1.0042e+07 4.31617 39.3507 0
96 95.3344 8 49 21018.5 1.01203e+07 4.34863 39.6915 0
97 96.0455 8 50 19867.5 1.01238e+07 4.24045 39.986 0
98 97.0455 8 50 18462.9 1.00649e+07 4.31615 40.2347 0
99 98.3832 8 53 17121.5 9.8933e+06 4.08491 40.2427 0
100 99.1763 8 54 16617.1 9.75858e+06 4.1295 40.5542 0
101 100.365 8 55 16266.4 9.5341e+06 4.07322 40.8014 0
102 101.365 8 55 16330.5 9.34242e+06 3.99284 40.825 0
103 102.365 8 54 16700.5 9.16369e+06 3.92102 40.784 0
