t 	 Richness 	 Shannon Index 
152 	 98 	 2.302441 	 0.502172 
153 	 101 	 2.302405 	 0.498883 
154 	 103 	 2.302371 	 0.496765 
155 	 103 	 2.302326 	 0.496755 
156 	 103 	 2.302273 	 0.496744 
157 	 105 	 2.302198 	 0.494675 
158 	 108 	 2.302100 	 0.491678 
159 	 110 	 2.302007 	 0.489739 
160 	 110 	 2.301911 	 0.489718 
161 	 113 	 2.301798 	 0.486907 
162 	 114 	 2.301652 	 0.485970 
163 	 115 	 2.301494 	 0.485042 
164 	 116 	 2.301297 	 0.484118 
165 	 114 	 2.301091 	 0.485852 
166 	 114 	 2.300855 	 0.485802 
167 	 115 	 2.300819 	 0.484900 
168 	 117 	 2.300464 	 0.483070 
169 	 118 	 2.299903 	 0.482091 
170 	 119 	 2.299811 	 0.481220 
171 	 120 	 2.299392 	 0.480292 
172 	 121 	 2.298758 	 0.479328 
173 	 123 	 2.298358 	 0.477612 
174 	 125 	 2.297982 	 0.475939 
175 	 127 	 2.297371 	 0.474253 
176 	 129 	 2.296575 	 0.472565 
177 	 134 	 2.295984 	 0.468775 
178 	 134 	 2.295213 	 0.468617 
179 	 134 	 2.294386 	 0.468449 
180 	 134 	 2.293531 	 0.468274 
181 	 136 	 2.292604 	 0.466673 
182 	 136 	 2.291608 	 0.466470 
183 	 135 	 2.290268 	 0.466899 
184 	 134 	 2.289133 	 0.467376 
185 	 133 	 2.288129 	 0.467887 
186 	 129 	 2.286875 	 0.470569 
187 	 132 	 2.285515 	 0.468075 
188 	 132 	 2.283891 	 0.467742 
189 	 135 	 2.282533 	 0.465322 
190 	 136 	 2.280961 	 0.464303 
191 	 136 	 2.278654 	 0.463833 
192 	 136 	 2.278072 	 0.463715 
193 	 139 	 2.275865 	 0.461217 
194 	 138 	 2.272950 	 0.461302 
195 	 138 	 2.272490 	 0.461208 
196 	 140 	 2.270891 	 0.459542 
197 	 141 	 2.268284 	 0.458354 
198 	 140 	 2.266354 	 0.458624 
199 	 140 	 2.265022 	 0.458354 
200 	 141 	 2.262424 	 0.457170 
201 	 143 	 2.261295 	 0.455645 
202 	 142 	 2.259262 	 0.455880 
203 	 142 	 2.256492 	 0.455321 
204 	 142 	 2.253977 	 0.454814 
205 	 143 	 2.251206 	 0.453612 
206 	 143 	 2.249051 	 0.453178 
207 	 144 	 2.247314 	 0.452193 
208 	 146 	 2.246295 	 0.450737 
209 	 149 	 2.243244 	 0.448295 
210 	 148 	 2.241017 	 0.448453 
211 	 149 	 2.239769 	 0.447601 
212 	 149 	 2.237525 	 0.447152 
213 	 152 	 2.235285 	 0.444932 
214 	 151 	 2.231300 	 0.444723 
215 	 152 	 2.230653 	 0.444010 
216 	 152 	 2.227786 	 0.443439 
217 	 151 	 2.225560 	 0.443579 
218 	 154 	 2.223926 	 0.441522 
219 	 156 	 2.221009 	 0.439816 
220 	 156 	 2.218838 	 0.439386 
221 	 157 	 2.217485 	 0.438563 
