t 	 Richness 	 Shannon Index 
1 	 21 	 2.995733 	 0.983975 
2 	 22 	 2.995733 	 0.969166 
3 	 29 	 2.995736 	 0.889656 
4 	 40 	 2.995738 	 0.812100 
5 	 50 	 2.995739 	 0.765777 
6 	 58 	 2.995740 	 0.737786 
7 	 64 	 2.995741 	 0.720323 
8 	 59 	 2.995740 	 0.734693 
9 	 47 	 2.995739 	 0.778084 
10 	 46 	 2.995739 	 0.782455 
11 	 43 	 2.995738 	 0.796485 
12 	 41 	 2.995738 	 0.806700 
13 	 38 	 2.995738 	 0.823551 
14 	 35 	 2.995737 	 0.842600 
15 	 33 	 2.995737 	 0.856780 
16 	 33 	 2.995737 	 0.856780 
17 	 29 	 2.995736 	 0.889656 
18 	 28 	 2.995735 	 0.899025 
19 	 27 	 2.995735 	 0.908945 
20 	 28 	 2.995736 	 0.899025 
21 	 27 	 2.995735 	 0.908945 
22 	 25 	 2.995735 	 0.930677 
23 	 25 	 2.995735 	 0.930677 
24 	 26 	 2.995735 	 0.919474 
25 	 27 	 2.995735 	 0.908945 
26 	 30 	 2.995736 	 0.880789 
27 	 32 	 2.995737 	 0.864387 
28 	 35 	 2.995737 	 0.842600 
29 	 40 	 2.995738 	 0.812100 
30 	 47 	 2.995739 	 0.778084 
31 	 53 	 2.995740 	 0.754539 
32 	 54 	 2.995740 	 0.751003 
33 	 57 	 2.995740 	 0.740960 
34 	 52 	 2.995740 	 0.758176 
35 	 42 	 2.995738 	 0.801499 
36 	 38 	 2.995738 	 0.823551 
37 	 39 	 2.995738 	 0.817712 
38 	 34 	 2.995737 	 0.849527 
39 	 35 	 2.995737 	 0.842600 
40 	 35 	 2.995737 	 0.842600 
41 	 32 	 2.995737 	 0.864387 
42 	 31 	 2.995736 	 0.872378 
43 	 32 	 2.995737 	 0.864387 
44 	 32 	 2.995737 	 0.864387 
45 	 32 	 2.995737 	 0.864387 
46 	 33 	 2.995737 	 0.856780 
47 	 35 	 2.995737 	 0.842600 
48 	 35 	 2.995737 	 0.842600 
49 	 37 	 2.995738 	 0.829633 
50 	 40 	 2.995738 	 0.812100 
51 	 43 	 2.995739 	 0.796485 
52 	 46 	 2.995739 	 0.782455 
53 	 51 	 2.995740 	 0.761921 
54 	 53 	 2.995740 	 0.754539 
55 	 56 	 2.995741 	 0.744218 
56 	 59 	 2.995741 	 0.734694 
57 	 52 	 2.995740 	 0.758177 
58 	 43 	 2.995739 	 0.796485 
59 	 40 	 2.995738 	 0.812100 
60 	 38 	 2.995738 	 0.823551 
61 	 36 	 2.995738 	 0.835976 
