t 	 Richness 	 Shannon Index 
157 	 14 	 0.010725 	 0.004064 
158 	 14 	 0.011004 	 0.004170 
159 	 14 	 0.011395 	 0.004318 
160 	 14 	 0.011947 	 0.004527 
161 	 14 	 0.012769 	 0.004838 
162 	 14 	 0.013311 	 0.005044 
163 	 14 	 0.013589 	 0.005149 
164 	 15 	 0.014221 	 0.005251 
165 	 15 	 0.015003 	 0.005540 
166 	 15 	 0.015633 	 0.005773 
167 	 15 	 0.016016 	 0.005914 
168 	 15 	 0.016657 	 0.006151 
169 	 15 	 0.018051 	 0.006666 
170 	 15 	 0.018812 	 0.006947 
171 	 16 	 0.019048 	 0.006870 
172 	 16 	 0.019884 	 0.007172 
173 	 16 	 0.020648 	 0.007447 
174 	 16 	 0.021524 	 0.007763 
175 	 16 	 0.022810 	 0.008227 
176 	 16 	 0.023783 	 0.008578 
177 	 16 	 0.024741 	 0.008923 
178 	 16 	 0.025790 	 0.009302 
179 	 16 	 0.027352 	 0.009865 
180 	 16 	 0.027616 	 0.009960 
181 	 16 	 0.028711 	 0.010355 
182 	 16 	 0.030405 	 0.010966 
183 	 16 	 0.031848 	 0.011487 
184 	 17 	 0.032583 	 0.011500 
185 	 17 	 0.034167 	 0.012060 
186 	 17 	 0.035769 	 0.012625 
187 	 17 	 0.037252 	 0.013148 
188 	 17 	 0.038795 	 0.013693 
189 	 17 	 0.041221 	 0.014549 
190 	 17 	 0.041663 	 0.014705 
191 	 18 	 0.044506 	 0.015398 
192 	 18 	 0.045083 	 0.015598 
193 	 18 	 0.047926 	 0.016581 
194 	 18 	 0.049915 	 0.017269 
195 	 18 	 0.051323 	 0.017756 
196 	 18 	 0.054900 	 0.018994 
197 	 18 	 0.057173 	 0.019780 
198 	 18 	 0.059536 	 0.020598 
199 	 18 	 0.060171 	 0.020818 
200 	 18 	 0.063739 	 0.022052 
201 	 18 	 0.065235 	 0.022570 
202 	 18 	 0.067992 	 0.023524 
203 	 18 	 0.070246 	 0.024303 
204 	 18 	 0.074768 	 0.025868 
205 	 18 	 0.076724 	 0.026545 
206 	 18 	 0.079911 	 0.027647 
207 	 19 	 0.082456 	 0.028004 
208 	 19 	 0.087304 	 0.029651 
209 	 19 	 0.089356 	 0.030347 
210 	 19 	 0.094128 	 0.031968 
211 	 19 	 0.096873 	 0.032900 
212 	 19 	 0.102583 	 0.034840 
213 	 19 	 0.106687 	 0.036233 
214 	 20 	 0.109827 	 0.036661 
215 	 20 	 0.116719 	 0.038962 
216 	 20 	 0.118522 	 0.039564 
217 	 21 	 0.124519 	 0.040900 
218 	 21 	 0.127481 	 0.041872 
219 	 21 	 0.132811 	 0.043623 
220 	 21 	 0.140671 	 0.046205 
221 	 21 	 0.146231 	 0.048031 
222 	 21 	 0.153364 	 0.050374 
223 	 21 	 0.158618 	 0.052099 
224 	 21 	 0.163131 	 0.053582 
225 	 21 	 0.170861 	 0.056121 
226 	 21 	 0.175472 	 0.057635 
227 	 21 	 0.182279 	 0.059871 
228 	 21 	 0.188875 	 0.062038 
229 	 21 	 0.196159 	 0.064430 
230 	 21 	 0.202967 	 0.066666 
231 	 21 	 0.210751 	 0.069223 
232 	 21 	 0.218809 	 0.071870 
233 	 21 	 0.231658 	 0.076090 
234 	 21 	 0.238985 	 0.078497 
235 	 21 	 0.248854 	 0.081738 
236 	 21 	 0.252880 	 0.083061 
237 	 21 	 0.262393 	 0.086185 
238 	 21 	 0.281001 	 0.092297 
239 	 21 	 0.285905 	 0.093908 
240 	 21 	 0.296501 	 0.097388 
241 	 21 	 0.307960 	 0.101152 
242 	 21 	 0.319256 	 0.104862 
243 	 21 	 0.327196 	 0.107470 
244 	 21 	 0.341423 	 0.112143 
245 	 21 	 0.357317 	 0.117364 
246 	 21 	 0.375089 	 0.123201 
247 	 21 	 0.380120 	 0.124854 
248 	 22 	 0.395192 	 0.127851 
249 	 23 	 0.404051 	 0.128864 
250 	 23 	 0.418227 	 0.133385 
251 	 24 	 0.442770 	 0.139321 
252 	 24 	 0.448297 	 0.141060 
253 	 24 	 0.466990 	 0.146942 
254 	 25 	 0.477822 	 0.148444 
255 	 26 	 0.502982 	 0.154379 
256 	 26 	 0.511136 	 0.156882 
257 	 27 	 0.534123 	 0.162060 
258 	 27 	 0.550957 	 0.167168 
259 	 27 	 0.569031 	 0.172651 
260 	 27 	 0.583622 	 0.177079 
261 	 27 	 0.611073 	 0.185408 
262 	 27 	 0.632308 	 0.191851 
263 	 27 	 0.644432 	 0.195529 
264 	 27 	 0.661921 	 0.200835 
265 	 27 	 0.695588 	 0.211051 
266 	 27 	 0.709007 	 0.215122 
267 	 27 	 0.724467 	 0.219813 
268 	 28 	 0.747485 	 0.224321 
269 	 28 	 0.777994 	 0.233477 
270 	 28 	 0.801230 	 0.240451 
271 	 28 	 0.811168 	 0.243433 
272 	 28 	 0.834354 	 0.250391 
273 	 29 	 0.864455 	 0.256721 
274 	 29 	 0.904005 	 0.268466 
275 	 29 	 0.905880 	 0.269023 
276 	 29 	 0.930403 	 0.276306 
277 	 29 	 0.973642 	 0.289147 
278 	 30 	 0.984191 	 0.289366 
279 	 30 	 1.014233 	 0.298199 
280 	 30 	 1.037572 	 0.305061 
281 	 30 	 1.065487 	 0.313268 
282 	 30 	 1.091563 	 0.320935 
283 	 31 	 1.109655 	 0.323139 
284 	 31 	 1.136009 	 0.330813 
285 	 31 	 1.166769 	 0.339771 
286 	 32 	 1.190688 	 0.343560 
287 	 32 	 1.216718 	 0.351071 
288 	 32 	 1.243489 	 0.358795 
289 	 32 	 1.284224 	 0.370549 
290 	 32 	 1.313715 	 0.379058 
291 	 32 	 1.335340 	 0.385298 
292 	 32 	 1.362160 	 0.393036 
293 	 32 	 1.377431 	 0.397443 
294 	 33 	 1.404042 	 0.401556 
295 	 33 	 1.430698 	 0.409179 
296 	 33 	 1.469834 	 0.420372 
297 	 33 	 1.491662 	 0.426615 
298 	 33 	 1.517899 	 0.434119 
299 	 33 	 1.543968 	 0.441574 
300 	 33 	 1.569851 	 0.448977 
301 	 34 	 1.588583 	 0.450488 
