t 	 Richness 	 Shannon Index 
1 	 1 	 0.000000 	 nan 
2 	 1 	 0.000000 	 nan 
3 	 1 	 0.000000 	 nan 
4 	 4 	 0.000029 	 0.000021 
5 	 1 	 0.000000 	 nan 
6 	 1 	 0.000000 	 nan 
7 	 1 	 0.000000 	 nan 
8 	 1 	 0.000000 	 nan 
9 	 2 	 0.000631 	 0.000910 
10 	 1 	 0.000000 	 nan 
11 	 1 	 0.000000 	 nan 
12 	 1 	 0.000000 	 nan 
13 	 1 	 0.000000 	 nan 
14 	 1 	 0.000000 	 nan 
15 	 1 	 0.000000 	 nan 
16 	 1 	 0.000000 	 nan 
17 	 1 	 0.000000 	 nan 
18 	 1 	 0.000000 	 nan 
19 	 1 	 0.000000 	 nan 
20 	 1 	 0.000000 	 nan 
21 	 1 	 0.000000 	 nan 
22 	 1 	 0.000000 	 nan 
23 	 1 	 0.000000 	 nan 
24 	 1 	 0.000000 	 nan 
25 	 1 	 0.000000 	 nan 
26 	 1 	 0.000000 	 nan 
27 	 2 	 0.000033 	 0.000048 
28 	 2 	 0.000035 	 0.000051 
29 	 2 	 0.000037 	 0.000053 
30 	 3 	 0.000062 	 0.000057 
31 	 2 	 0.000045 	 0.000066 
32 	 3 	 0.000107 	 0.000097 
33 	 1 	 0.000000 	 nan 
34 	 1 	 0.000000 	 nan 
35 	 1 	 0.000000 	 nan 
36 	 1 	 0.000000 	 nan 
37 	 1 	 0.000000 	 nan 
38 	 1 	 0.000000 	 nan 
39 	 1 	 0.000000 	 nan 
40 	 1 	 0.000000 	 nan 
41 	 1 	 0.000000 	 nan 
42 	 1 	 0.000000 	 nan 
43 	 1 	 0.000000 	 nan 
44 	 1 	 0.000000 	 nan 
45 	 1 	 0.000000 	 nan 
46 	 1 	 0.000000 	 nan 
47 	 1 	 0.000000 	 nan 
48 	 1 	 0.000000 	 nan 
49 	 1 	 0.000000 	 nan 
50 	 2 	 0.000035 	 0.000050 
51 	 2 	 0.000038 	 0.000055 
52 	 2 	 0.000041 	 0.000058 
53 	 4 	 0.000130 	 0.000094 
54 	 1 	 0.000000 	 nan 
55 	 1 	 0.000000 	 nan 
56 	 2 	 0.000090 	 0.000130 
57 	 1 	 0.000000 	 nan 
58 	 2 	 0.000129 	 0.000186 
59 	 2 	 0.000142 	 0.000205 
60 	 2 	 0.000154 	 0.000222 
61 	 2 	 0.000168 	 0.000242 
62 	 2 	 0.000190 	 0.000275 
63 	 2 	 0.000205 	 0.000296 
64 	 2 	 0.000221 	 0.000319 
65 	 2 	 0.000237 	 0.000342 
66 	 4 	 0.000408 	 0.000294 
67 	 4 	 0.000427 	 0.000308 
68 	 4 	 0.000457 	 0.000330 
69 	 4 	 0.000495 	 0.000357 
70 	 4 	 0.000536 	 0.000387 
71 	 4 	 0.000601 	 0.000433 
72 	 4 	 0.000625 	 0.000451 
73 	 4 	 0.000691 	 0.000498 
74 	 5 	 0.000806 	 0.000501 
75 	 5 	 0.000931 	 0.000578 
76 	 6 	 0.001040 	 0.000580 
77 	 6 	 0.001152 	 0.000643 
78 	 5 	 0.001188 	 0.000738 
79 	 5 	 0.001317 	 0.000818 
80 	 5 	 0.001507 	 0.000936 
81 	 5 	 0.001578 	 0.000980 
82 	 5 	 0.001718 	 0.001067 
83 	 5 	 0.001864 	 0.001158 
84 	 5 	 0.002047 	 0.001272 
85 	 5 	 0.002210 	 0.001373 
86 	 5 	 0.002383 	 0.001480 
87 	 6 	 0.002582 	 0.001441 
88 	 6 	 0.002782 	 0.001553 
89 	 6 	 0.003225 	 0.001800 
90 	 6 	 0.003261 	 0.001820 
91 	 7 	 0.003670 	 0.001886 
92 	 7 	 0.003987 	 0.002049 
93 	 7 	 0.004335 	 0.002228 
94 	 7 	 0.004619 	 0.002374 
95 	 8 	 0.005222 	 0.002511 
96 	 8 	 0.005718 	 0.002750 
97 	 8 	 0.006099 	 0.002933 
98 	 8 	 0.006678 	 0.003211 
99 	 8 	 0.007525 	 0.003619 
100 	 8 	 0.008067 	 0.003879 
101 	 8 	 0.008933 	 0.004296 
102 	 8 	 0.009712 	 0.004671 
103 	 8 	 0.010539 	 0.005068 
104 	 8 	 0.011417 	 0.005490 
105 	 8 	 0.012350 	 0.005939 
106 	 8 	 0.013933 	 0.006700 
107 	 8 	 0.015045 	 0.007235 
108 	 8 	 0.016249 	 0.007814 
109 	 8 	 0.016496 	 0.007933 
110 	 8 	 0.017685 	 0.008505 
111 	 8 	 0.019784 	 0.009514 
112 	 9 	 0.021365 	 0.009723 
113 	 10 	 0.023965 	 0.010408 
114 	 10 	 0.026049 	 0.011313 
115 	 10 	 0.028339 	 0.012308 
116 	 10 	 0.030721 	 0.013342 
117 	 10 	 0.032314 	 0.014034 
118 	 10 	 0.035166 	 0.015272 
119 	 10 	 0.038247 	 0.016610 
120 	 10 	 0.041560 	 0.018049 
121 	 10 	 0.047632 	 0.020686 
122 	 10 	 0.050244 	 0.021821 
123 	 10 	 0.052268 	 0.022700 
124 	 10 	 0.060111 	 0.026106 
125 	 10 	 0.061616 	 0.026759 
126 	 10 	 0.066509 	 0.028885 
127 	 10 	 0.075610 	 0.032837 
128 	 10 	 0.077642 	 0.033720 
129 	 10 	 0.084554 	 0.036722 
130 	 10 	 0.093163 	 0.040460 
131 	 11 	 0.096618 	 0.040293 
132 	 11 	 0.103164 	 0.043023 
133 	 11 	 0.111357 	 0.046440 
134 	 12 	 0.124684 	 0.050177 
135 	 12 	 0.134436 	 0.054101 
136 	 12 	 0.141718 	 0.057032 
137 	 13 	 0.153719 	 0.059931 
138 	 14 	 0.166241 	 0.062993 
139 	 14 	 0.179382 	 0.067972 
