1	1	NA	0
4	2	1	2.52104
4	3	1	2.67183
4	4	1	2.73385
4	5	1	3.02983
5	6	1	3.43376
5	7	1	3.43947
5	8	1	3.44569
5	9	1	3.61252
5	10	1	3.69024
5	11	1	3.78109
5	12	1	3.81558
5	13	1	3.83356
5	14	1	3.86511
5	15	1	4.17458
6	16	1	4.2065
6	17	1	4.30511
6	18	1	4.44741
6	19	1	4.51446
6	20	1	4.55879
6	21	1	4.59699
6	22	1	4.68822
6	23	1	4.71154
6	24	1	4.84517
6	25	1	5.04527
7	26	1	5.17203
7	27	1	5.27519
7	28	1	5.29167
7	29	1	5.33953
7	30	1	5.4556
7	31	1	5.47226
7	32	1	5.72943
7	33	1	5.75388
7	34	1	5.78499
7	35	1	5.80069
8	36	1	6.30908
8	37	1	6.35965
8	38	1	6.62491
8	39	1	6.7156
8	40	1	6.72164
8	41	1	7.34393
9	42	1	7.79509
11	43	1	10.6233
77	44	4	76.0317
80	45	3	78.2242
87	46	4	85.5414
87	47	4	86.271
88	48	4	86.5069
93	49	3	91.5518
93	50	4	91.9076
102	51	6	101.552
106	52	4	104.811
106	53	3	105.629
108	54	6	106.78
108	55	6	107.303
111	56	6	110.092
119	57	5	118.076
125	58	17	124.331
127	59	16	126.414
130	60	5	129.514
131	61	5	130.26
134	62	16	133.137
136	63	16	134.89
137	64	16	135.825
139	65	46	137.252
139	66	16	137.529
139	67	16	138.528
140	68	47	138.596
140	69	9	138.83
143	70	9	141.538
146	71	9	145.177
147	72	47	146.066
149	73	47	147.95
151	74	47	149.996
152	75	47	150.956
152	76	9	151.188
154	77	9	153.16
155	78	61	153.493
155	79	61	153.896
155	80	61	153.903
155	81	47	154.093
156	82	61	154.105
156	83	61	154.348
156	84	61	154.368
156	85	61	154.381
156	86	61	154.489
156	87	61	154.594
156	88	61	154.656
156	89	61	154.732
156	90	61	154.801
156	91	61	155.044
157	92	61	155.076
157	93	61	155.093
157	94	61	155.129
157	95	61	155.241
157	96	61	155.389
157	97	61	155.488
157	98	61	155.493
157	99	61	155.584
157	100	61	155.802
157	101	61	155.849
157	102	61	155.859
157	103	61	155.936
157	104	61	155.959
157	105	61	156.012
158	106	61	156.322
158	107	61	156.479
158	108	9	156.664
158	109	47	156.686
158	110	61	156.756
158	111	61	156.807
158	112	61	156.863
158	113	47	156.944
159	114	9	157.359
159	115	61	157.374
159	116	61	157.501
159	117	61	157.759
159	118	61	157.839
159	119	61	158.425
160	120	61	158.532
161	121	47	159.948
162	122	46	160.54
163	123	16	161.119
163	124	6	161.325
163	125	47	161.811
163	126	6	162.063
164	127	11	162.094
164	128	46	162.116
164	129	6	162.418
165	130	6	163.396
165	131	6	163.609
165	132	6	163.639
165	133	6	163.642
165	134	16	163.699
165	135	11	164.046
166	136	6	164.114
166	137	6	164.132
166	138	46	164.318
166	139	6	164.461
166	140	6	164.528
166	141	11	164.568
166	142	11	164.773
166	143	6	164.834
166	144	6	164.886
166	145	11	164.912
166	146	6	164.984
166	147	11	165.04
167	148	6	165.052
167	149	11	165.074
167	150	6	165.159
167	151	51	165.215
167	152	11	165.293
167	153	6	165.402
167	154	11	165.792
167	155	6	165.878
168	156	47	166.223
168	157	11	166.443
168	158	9	166.475
168	159	11	166.549
168	160	6	166.835
168	161	16	166.842
168	162	46	166.879
168	163	11	167.179
169	164	6	167.217
169	165	11	167.736
169	166	16	167.767
169	167	16	168.01
170	168	16	168.44
170	169	16	168.529
170	170	16	168.661
170	171	16	168.695
170	172	9	168.715
171	173	46	169.306
171	174	46	169.311
171	175	46	169.778
171	176	16	169.843
171	177	16	169.869
172	178	47	170.185
172	179	16	170.205
172	180	47	170.535
172	181	9	170.624
172	182	47	170.918
172	183	47	170.944
172	184	47	171.184
173	185	9	171.246
173	186	16	171.403
173	187	16	171.638
173	188	9	171.82
173	189	16	171.836
173	190	16	171.942
173	191	16	172.095
174	192	47	172.176
174	193	16	172.683
174	194	16	172.762
174	195	47	172.922
175	196	47	173.107
175	197	16	173.244
175	198	47	174.015
176	199	46	174.102
176	200	9	174.41
177	201	9	175.528
206	202	73	204.701
216	203	73	215.36
225	204	183	223.738
225	205	73	224.615
227	206	73	226.322
228	207	73	226.323
229	208	73	228.1
232	209	73	230.756
235	210	73	233.983
