t 	 Richness 	 Shannon Index 
1 	 1 	 0.000000 	 nan 
2 	 1 	 0.000000 	 nan 
3 	 2 	 0.000006 	 0.000009 
4 	 2 	 0.000007 	 0.000009 
5 	 4 	 0.000026 	 0.000019 
6 	 7 	 0.000093 	 0.000048 
7 	 7 	 0.000472 	 0.000242 
8 	 7 	 0.004181 	 0.002149 
9 	 7 	 0.050062 	 0.025727 
10 	 7 	 0.214335 	 0.110146 
11 	 7 	 0.574957 	 0.295469 
12 	 7 	 1.296532 	 0.666286 
13 	 7 	 1.828747 	 0.939790 
14 	 7 	 1.932827 	 0.993276 
15 	 7 	 1.887321 	 0.969891 
16 	 7 	 1.840146 	 0.945648 
17 	 8 	 1.813799 	 0.872253 
18 	 8 	 1.797522 	 0.864425 
19 	 8 	 1.788836 	 0.860248 
20 	 10 	 1.785963 	 0.775634 
21 	 14 	 1.782350 	 0.675374 
22 	 17 	 1.780240 	 0.628347 
23 	 17 	 1.779309 	 0.628018 
24 	 18 	 1.778773 	 0.615413 
25 	 19 	 1.778517 	 0.604026 
26 	 20 	 1.778076 	 0.593536 
27 	 20 	 1.777962 	 0.593498 
28 	 21 	 1.777887 	 0.583963 
29 	 21 	 1.777817 	 0.583939 
30 	 22 	 1.777761 	 0.575133 
31 	 22 	 1.777724 	 0.575121 
32 	 23 	 1.777700 	 0.566960 
33 	 23 	 1.777677 	 0.566953 
34 	 23 	 1.777659 	 0.566947 
35 	 23 	 1.777644 	 0.566942 
36 	 23 	 1.777632 	 0.566938 
37 	 23 	 1.777623 	 0.566935 
38 	 23 	 1.777615 	 0.566933 
39 	 23 	 1.777608 	 0.566931 
40 	 23 	 1.777603 	 0.566929 
41 	 24 	 1.777607 	 0.559338 
42 	 24 	 1.777602 	 0.559337 
43 	 25 	 1.777603 	 0.552243 
44 	 26 	 1.777606 	 0.545597 
45 	 26 	 1.777604 	 0.545596 
46 	 26 	 1.777603 	 0.545595 
47 	 26 	 1.777601 	 0.545595 
48 	 26 	 1.777601 	 0.545595 
49 	 26 	 1.777601 	 0.545595 
50 	 26 	 1.777601 	 0.545595 
51 	 26 	 1.777602 	 0.545595 
52 	 26 	 1.777604 	 0.545596 
53 	 26 	 1.777606 	 0.545597 
54 	 26 	 1.777609 	 0.545597 
55 	 26 	 1.777613 	 0.545599 
56 	 26 	 1.777618 	 0.545600 
57 	 26 	 1.777625 	 0.545602 
58 	 26 	 1.777632 	 0.545605 
59 	 26 	 1.777642 	 0.545608 
60 	 26 	 1.777654 	 0.545611 
61 	 26 	 1.777668 	 0.545616 
62 	 26 	 1.777685 	 0.545621 
63 	 26 	 1.777706 	 0.545627 
64 	 26 	 1.777732 	 0.545635 
65 	 26 	 1.777762 	 0.545644 
66 	 26 	 1.777799 	 0.545656 
67 	 26 	 1.777843 	 0.545669 
68 	 26 	 1.777897 	 0.545686 
69 	 26 	 1.777961 	 0.545705 
70 	 26 	 1.778037 	 0.545729 
71 	 26 	 1.778128 	 0.545757 
72 	 26 	 1.778237 	 0.545790 
73 	 26 	 1.778366 	 0.545830 
74 	 27 	 1.778630 	 0.539660 
75 	 27 	 1.778827 	 0.539719 
76 	 27 	 1.779057 	 0.539789 
77 	 27 	 1.779152 	 0.539818 
78 	 27 	 1.779430 	 0.539902 
79 	 27 	 1.779745 	 0.539998 
80 	 27 	 1.780168 	 0.540126 
81 	 27 	 1.780559 	 0.540245 
82 	 27 	 1.780972 	 0.540370 
83 	 27 	 1.781392 	 0.540498 
84 	 27 	 1.781796 	 0.540620 
85 	 27 	 1.782150 	 0.540728 
86 	 27 	 1.782407 	 0.540806 
87 	 27 	 1.782511 	 0.540837 
88 	 27 	 1.782305 	 0.540775 
89 	 27 	 1.781782 	 0.540616 
90 	 27 	 1.780852 	 0.540334 
91 	 29 	 1.780133 	 0.528654 
92 	 29 	 1.778425 	 0.528146 
93 	 29 	 1.773798 	 0.526772 
94 	 29 	 1.770471 	 0.525784 
95 	 29 	 1.766622 	 0.524641 
96 	 30 	 1.765565 	 0.519101 
97 	 30 	 1.761170 	 0.517809 
98 	 30 	 1.756455 	 0.516422 
99 	 31 	 1.748714 	 0.509237 
100 	 31 	 1.743648 	 0.507762 
101 	 31 	 1.738591 	 0.506289 
102 	 31 	 1.734441 	 0.505081 
103 	 31 	 1.729466 	 0.503632 
104 	 31 	 1.724507 	 0.502188 
105 	 31 	 1.719490 	 0.500727 
106 	 30 	 1.713901 	 0.503911 
107 	 30 	 1.708419 	 0.502299 
108 	 31 	 1.704503 	 0.496363 
109 	 31 	 1.695573 	 0.493762 
110 	 31 	 1.688518 	 0.491708 
111 	 31 	 1.685657 	 0.490875 
112 	 32 	 1.673548 	 0.482884 
113 	 32 	 1.664926 	 0.480396 
114 	 33 	 1.657701 	 0.474102 
115 	 35 	 1.644325 	 0.462493 
116 	 35 	 1.635116 	 0.459903 
117 	 34 	 1.625947 	 0.461084 
118 	 34 	 1.616837 	 0.458500 
119 	 34 	 1.615018 	 0.457984 
120 	 34 	 1.605090 	 0.455169 
121 	 34 	 1.595759 	 0.452523 
122 	 35 	 1.582703 	 0.445161 
123 	 36 	 1.574898 	 0.439484 
124 	 36 	 1.562796 	 0.436107 
125 	 36 	 1.550495 	 0.432674 
126 	 36 	 1.530594 	 0.427120 
127 	 37 	 1.522518 	 0.421643 
128 	 37 	 1.510696 	 0.418369 
129 	 37 	 1.496282 	 0.414377 
130 	 39 	 1.478218 	 0.403492 
131 	 40 	 1.467941 	 0.397937 
132 	 40 	 1.452088 	 0.393639 
133 	 40 	 1.433801 	 0.388682 
134 	 40 	 1.431550 	 0.388072 
135 	 41 	 1.416233 	 0.381367 
