t 	 Richness 	 Shannon Index 
1 	 1 	 0.000000 	 nan 
2 	 1 	 0.000000 	 nan 
3 	 1 	 0.000000 	 nan 
4 	 5 	 0.000007 	 0.000004 
5 	 15 	 0.000013 	 0.000005 
6 	 25 	 0.000015 	 0.000005 
7 	 35 	 0.000017 	 0.000005 
8 	 41 	 0.000017 	 0.000005 
9 	 42 	 0.000017 	 0.000005 
10 	 35 	 0.000017 	 0.000005 
11 	 32 	 0.000016 	 0.000005 
12 	 30 	 0.000016 	 0.000005 
13 	 26 	 0.000015 	 0.000005 
14 	 25 	 0.000015 	 0.000005 
15 	 24 	 0.000015 	 0.000005 
16 	 23 	 0.000015 	 0.000005 
17 	 21 	 0.000015 	 0.000005 
18 	 19 	 0.000014 	 0.000005 
19 	 17 	 0.000015 	 0.000005 
20 	 17 	 0.000015 	 0.000005 
21 	 17 	 0.000018 	 0.000006 
22 	 16 	 0.000022 	 0.000008 
23 	 16 	 0.000027 	 0.000010 
24 	 15 	 0.000032 	 0.000012 
25 	 13 	 0.000037 	 0.000014 
26 	 12 	 0.000060 	 0.000024 
27 	 10 	 0.000075 	 0.000032 
28 	 10 	 0.000094 	 0.000041 
29 	 10 	 0.000124 	 0.000054 
30 	 10 	 0.000172 	 0.000075 
31 	 10 	 0.000227 	 0.000098 
32 	 10 	 0.000299 	 0.000130 
33 	 10 	 0.000396 	 0.000172 
34 	 10 	 0.000524 	 0.000228 
35 	 10 	 0.000694 	 0.000301 
36 	 9 	 0.000917 	 0.000417 
37 	 9 	 0.001215 	 0.000553 
38 	 9 	 0.001609 	 0.000732 
39 	 9 	 0.002132 	 0.000970 
40 	 9 	 0.002823 	 0.001285 
41 	 9 	 0.003031 	 0.001379 
42 	 9 	 0.004011 	 0.001826 
43 	 9 	 0.005695 	 0.002592 
44 	 9 	 0.006786 	 0.003088 
45 	 9 	 0.008964 	 0.004080 
46 	 9 	 0.011830 	 0.005384 
47 	 9 	 0.015596 	 0.007098 
48 	 9 	 0.020534 	 0.009345 
49 	 9 	 0.026997 	 0.012287 
50 	 9 	 0.035433 	 0.016126 
51 	 9 	 0.046414 	 0.021124 
52 	 9 	 0.060655 	 0.027605 
53 	 9 	 0.079046 	 0.035976 
54 	 9 	 0.102675 	 0.046729 
55 	 9 	 0.132838 	 0.060457 
56 	 9 	 0.171038 	 0.077843 
57 	 9 	 0.218939 	 0.099644 
58 	 9 	 0.278256 	 0.126640 
59 	 9 	 0.350549 	 0.159542 
60 	 9 	 0.436897 	 0.198840 
61 	 9 	 0.537413 	 0.244587 
62 	 9 	 0.650676 	 0.296135 
63 	 9 	 0.773171 	 0.351885 
64 	 9 	 0.899013 	 0.409159 
65 	 9 	 1.020262 	 0.464341 
66 	 9 	 1.128029 	 0.513388 
67 	 9 	 1.214286 	 0.552645 
68 	 9 	 1.273727 	 0.579698 
69 	 9 	 1.304958 	 0.593912 
70 	 9 	 1.310444 	 0.596409 
71 	 9 	 1.295388 	 0.589556 
72 	 9 	 1.266140 	 0.576245 
73 	 9 	 1.228795 	 0.559249 
74 	 9 	 1.163672 	 0.529610 
75 	 9 	 1.125141 	 0.512074 
76 	 9 	 1.090179 	 0.496162 
77 	 10 	 1.078200 	 0.468256 
78 	 10 	 1.049215 	 0.455668 
79 	 10 	 1.024673 	 0.445010 
80 	 11 	 1.000890 	 0.417404 
81 	 11 	 0.985116 	 0.410825 
82 	 11 	 0.972763 	 0.405674 
83 	 11 	 0.963501 	 0.401811 
84 	 11 	 0.957067 	 0.399128 
85 	 11 	 0.953277 	 0.397547 
86 	 11 	 0.952026 	 0.397026 
87 	 13 	 0.953443 	 0.371720 
88 	 14 	 0.958742 	 0.363290 
89 	 14 	 0.966073 	 0.366067 
90 	 14 	 0.976358 	 0.369965 
91 	 14 	 0.983535 	 0.372684 
92 	 14 	 0.998969 	 0.378532 
93 	 16 	 1.037225 	 0.374100 
94 	 16 	 1.063875 	 0.383712 
95 	 16 	 1.094892 	 0.394899 
96 	 16 	 1.103571 	 0.398029 
97 	 16 	 1.140034 	 0.411180 
98 	 16 	 1.180469 	 0.425764 
99 	 16 	 1.249708 	 0.450737 
100 	 16 	 1.296114 	 0.467474 
101 	 16 	 1.342128 	 0.484070 
102 	 17 	 1.378535 	 0.486563 
103 	 17 	 1.418807 	 0.500777 
104 	 17 	 1.453473 	 0.513012 
105 	 17 	 1.481454 	 0.522888 
106 	 19 	 1.503835 	 0.510737 
107 	 17 	 1.517982 	 0.535781 
108 	 18 	 1.524612 	 0.527480 
109 	 18 	 1.533478 	 0.530547 
110 	 18 	 1.538069 	 0.532135 
111 	 19 	 1.539905 	 0.522988 
112 	 19 	 1.549517 	 0.526252 
113 	 19 	 1.559010 	 0.529476 
114 	 19 	 1.568796 	 0.532800 
115 	 18 	 1.590074 	 0.550128 
116 	 18 	 1.605519 	 0.555471 
117 	 18 	 1.619524 	 0.560317 
118 	 18 	 1.629951 	 0.563924 
119 	 19 	 1.631431 	 0.554072 
120 	 19 	 1.635147 	 0.555334 
121 	 19 	 1.631519 	 0.554102 
122 	 18 	 1.616795 	 0.559373 
123 	 18 	 1.604776 	 0.555215 
124 	 18 	 1.585063 	 0.548394 
125 	 19 	 1.566913 	 0.532160 
126 	 17 	 1.546721 	 0.545925 
127 	 18 	 1.542611 	 0.533707 
128 	 18 	 1.541196 	 0.533217 
129 	 18 	 1.547197 	 0.535293 
130 	 19 	 1.567205 	 0.532259 
131 	 19 	 1.584276 	 0.538057 
132 	 19 	 1.616359 	 0.548953 
133 	 19 	 1.652331 	 0.561170 
134 	 20 	 1.655760 	 0.552706 
135 	 20 	 1.667268 	 0.556548 
